"disasterNumber","declarationYear","incidentType","applicationTitle","damageCategoryCode","projectSize","stateNumberCode","projectAmount","federalShareObligated","totalObligated","obligatedDate"
1871,2010,"Severe Storm(s)","PKAPF19 - Grandfather Mountain State Park: Hiking Trail","A - Debris Removal","Small","37",18338.42,13753.82,13753.82,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTARB06 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",1149069.24,861801.93,861801.93,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTARB07 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",2158118.97,1618589.22,1618589.22,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","DTARB08 - State Maintained Primary and Secondary Roads","A - Debris Removal","Large","37",917699.59,688274.7,688274.7,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTCPF15 - Road Slope Failure","C - Roads and Bridges","Large","37",70665.65,52999.24,52999.24,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTCPF18 - Damaged Road Shoulder Guardrail","C - Roads and Bridges","Small","37",1027.84,770.88,770.88,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTBPF13 - Road Slope Failure","B - Protective Measures","Small","37",35459.69,26594.77,26594.77,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTCPF21 - Road Slope Failure","C - Roads and Bridges","Small","37",57797.68,43348.26,43348.26,"2011-10-26T18:16:56.000Z"
1871,2010,"Severe Storm(s)","DTCPF14 - Road Slope Failure","C - Roads and Bridges","Small","37",23423.53,17567.65,17567.65,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTBRB01'State Maintained Primary and Secondary Roads","B - Protective Measures","Small","37",61222.68,45917.01,45917.01,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTCRB01'State Maintained Secondary Roads","C - Roads and Bridges","Small","37",29172.68,21879.51,21879.51,"2011-10-26T18:16:56.000Z"
1871,2010,"Severe Storm(s)","DTCRB03 - SR 1314 (Roses Branch Road)","C - Roads and Bridges","Large","37",0,0,0,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","DTCRB04 - State Maintained Secondary Roads (Seventeen S","C - Roads and Bridges","Small","37",49653.84,37240.38,37240.38,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","DTCPF20 - Road Shoulder Stabilzation Sites","C - Roads and Bridges","Small","37",49624.36,37218.27,37218.27,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTBRB02 - State Maintained Primary and Secondary Roads","B - Protective Measures","Small","37",60741.84,45556.38,45556.38,"2010-06-22T20:25:30.000Z"
1871,2010,"Severe Storm(s)","DTCRB02 - State Maintained Secondary Roads","C - Roads and Bridges","Small","37",22995.68,17246.76,17246.76,"2010-08-18T22:53:12.000Z"
1871,2010,"Severe Storm(s)","DTBRB04 - State Maintained Primary and Secondary Roads","B - Protective Measures","Small","37",47795.84,35846.88,35846.88,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","DTCRB05'State Maintained Secondary Roads (Stabilization","C - Roads and Bridges","Large","37",81188.38,60891.28,60891.28,"2010-08-27T03:24:26.000Z"
1871,2010,"Severe Storm(s)","324 Management Costs","Z - State Management","Large","37",487443,487443,487443,"2012-03-23T19:52:15.000Z"
1871,2010,"Severe Storm(s)","DTARB50 - Avery County Roads and Rights-of-Way","A - Debris Removal","Large","37",1196153.48,897115.11,897115.11,"2013-05-28T22:54:12.000Z"
1871,2010,"Severe Storm(s)","Liquidation of final amounts in SMARTLINK accunt","Z - State Management","Small","37",-21411.19,-21411.19,-21411.19,"2016-04-14T18:50:05.000Z"
1871,2010,"Severe Storm(s)","DTBRB03'State Maintained Primary and Secondary Roads","B - Protective Measures","Small","37",60183.84,45137.88,45137.88,"2010-08-27T03:24:26.000Z"
1872,2010,"Severe Storm(s)","SGS-072 Emergency protective measures Safety/Road Barri","B - Protective Measures","Small","05",3516.39,2637.29,2637.29,"2010-03-18T15:35:00.000Z"
1872,2010,"Severe Storm(s)","JTD-006   Repair damaged electrical distribution system","F - Public Utilities","Small","05",2146.51,1609.88,1609.88,"2010-08-24T20:39:15.000Z"
1872,2010,"Severe Storm(s)","JWS-005  Repair broken water line","F - Public Utilities","Small","05",1661.57,1246.18,1246.18,"2010-08-24T20:44:53.000Z"
1872,2010,"Severe Storm(s)","JWS-006 Repair Broken water line","F - Public Utilities","Small","05",1236.65,927.49,927.49,"2010-08-24T20:44:53.000Z"
1872,2010,"Severe Storm(s)","JTD-017 Repair eroded channel bank","D - Water Control Facilities","Small","05",2065,1548.75,1548.75,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-019 Repair damaged drainage ditch bank","D - Water Control Facilities","Small","05",3168,2376,2376,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-018  Repair damaged drainage channel bank","D - Water Control Facilities","Small","05",3643,2732.25,2732.25,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-021 Repair damaged ditch embankments","D - Water Control Facilities","Small","05",3977,2982.75,2982.75,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-022 Repair damaged drainage ditch bank","D - Water Control Facilities","Small","05",3200,2400,2400,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-020 Repair damaged drainage ditch bank","D - Water Control Facilities","Small","05",2947.5,2210.63,2210.63,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-023 Repair Eroded Drainage Ditch Bank","D - Water Control Facilities","Small","05",62794.9,47096.18,47096.18,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","AR001Z 324 Management Costs","Z - State Management","Large","05",32309.59,32309.59,32309.59,"2010-04-23T23:04:20.000Z"
1872,2010,"Severe Storm(s)","GFC-006  Rplc washed out agg on Mobility Impaired Trail","G - Recreational or Other","Small","05",2758.35,2068.76,2068.76,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","GFC-001 Washed Out Spillway","D - Water Control Facilities","Large","05",121833.25,91374.94,91374.94,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","GFC-012 Washed out aggregate & unclassified fill","C - Roads and Bridges","Small","05",24004.46,18003.35,18003.35,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-003 Water Control Structure, Washed out Rip Rap","D - Water Control Facilities","Small","05",4106,3079.5,3079.5,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","JTD-028 Repair damaged drainage ditch bank","D - Water Control Facilities","Large","05",0,0,0,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-027 Repair damaged drainage ditch bank","D - Water Control Facilities","Small","05",1889,1416.75,1416.75,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","JTD-026 Repair damaged drainage ditch bank","D - Water Control Facilities","Small","05",60545.92,45409.44,45409.44,"2010-08-26T17:40:37.000Z"
1872,2010,"Severe Storm(s)","GFC-009 Washed out aggregate at Boat launch, Parking","G - Recreational or Other","Small","05",30237.84,22678.38,22678.38,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","GFC-010 Washed out road surface on Levee Roads","C - Roads and Bridges","Small","05",13871.44,10403.58,10403.58,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-008 Replace washed out aggregate on access roads","C - Roads and Bridges","Small","05",7748.39,5811.29,5811.29,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-011 Washed out Unclassified fill on Reyno Cross","C - Roads and Bridges","Small","05",3700,2775,2775,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-005 Repair Washed out aggregate road and shoulder","C - Roads and Bridges","Small","05",1063,797.25,797.25,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-007 Replace aggregate & fill on Cannon Brake Levee","C - Roads and Bridges","Small","05",11303.7,8477.78,8477.78,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-002 Bayou Metro WMA, Cannon Brake Spillway","D - Water Control Facilities","Large","05",57122.5,42841.87,42841.87,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","GFC-004 Replace washed out rip rap on shoulder embankme","C - Roads and Bridges","Small","05",6385.52,4789.14,4789.14,"2010-08-24T00:43:42.000Z"
1872,2010,"Severe Storm(s)","GFC-013 Road/Gate","C - Roads and Bridges","Small","05",4100,3075,3075,"2010-10-15T00:14:54.000Z"
1872,2010,"Severe Storm(s)","GFC-014 Crane Roost Road","C - Roads and Bridges","Small","05",6729.2,5046.9,5046.9,"2010-08-25T17:28:16.000Z"
1872,2010,"Severe Storm(s)","GFC-015 Mobility Impaired Trail","C - Roads and Bridges","Small","05",38323.91,28742.93,28742.93,"2010-08-24T00:43:42.000Z"
1876,2010,"Severe Storm(s)","BCM001 Emergency Protective Measures","B - Protective Measures","Small","40",6824.16,5118.12,5118.12,"2010-03-24T16:18:41.000Z"
1876,2010,"Severe Storm(s)","DLR-001 - Emergency Response","B - Protective Measures","Small","40",26064.12,19548.09,19548.09,"2010-03-29T15:33:32.000Z"
1876,2010,"Severe Storm(s)","INT-005 Emergency Protective Services County Wide","B - Protective Measures","Small","40",14825.22,11118.92,11118.92,"2010-04-10T17:35:20.000Z"
1876,2010,"Severe Storm(s)","B6AL001 ODOT Division 6 Roads - Clear, rescue, shelter","B - Protective Measures","Small","40",23497.45,17623.09,17623.09,"2010-04-15T16:50:01.000Z"
1876,2010,"Severe Storm(s)","REC-F01 Elec Dist System- Replace Poles, Restore Power","F - Public Utilities","Small","40",42168.06,31626.05,31626.05,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","CEC-F01 Repair Power Lines and Restore Services","F - Public Utilities","Large","40",226811.56,170108.67,170108.67,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","OTA-B01 Paved Roadways H.E. Bailey Turnpike","B - Protective Measures","Small","40",48171.56,36128.67,36128.67,"2010-04-17T00:30:18.000Z"
1876,2010,"Severe Storm(s)","OTA-B02 Paved Roadway - Cimarron Turnpike","B - Protective Measures","Small","40",17962.97,13472.23,13472.23,"2010-04-20T01:57:00.000Z"
1876,2010,"Severe Storm(s)","OEC-B01 Restore Power to Electric Utility Dist. System","B - Protective Measures","Small","40",4916.99,3687.74,3687.74,"2010-04-20T17:23:29.000Z"
1876,2010,"Severe Storm(s)","OEC-F01 Electric Distribution System - Six Counties","F - Public Utilities","Small","40",57426.68,43070.01,43070.01,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","OTA-B03  Creek Turnpike - Removed Snow","B - Protective Measures","Small","40",12715.81,9536.86,9536.86,"2010-04-20T01:57:00.000Z"
1876,2010,"Severe Storm(s)","B8MC001 Division 8 - Road Clearance","B - Protective Measures","Large","40",440973.84,330730.38,330730.38,"2010-04-23T22:13:02.000Z"
1876,2010,"Severe Storm(s)","OSN-B01 Emergency Protective Measures: Road Clearing","B - Protective Measures","Small","40",6587.46,4940.6,4940.6,"2010-04-29T23:25:04.000Z"
1876,2010,"Severe Storm(s)","OSN-B02 Emergency Protective Measures - Road Clearing","B - Protective Measures","Small","40",14545.3,10908.98,10908.98,"2010-04-29T23:25:04.000Z"
1876,2010,"Severe Storm(s)","KIW005F Power Distribution System-Repair Lines, Restore","F - Public Utilities","Large","40",136960.41,102720.31,102720.31,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","HEA-B1 Call Center for Power Distribution System","B - Protective Measures","Small","40",1698.1,1273.58,1273.58,"2010-05-01T21:45:31.000Z"
1876,2010,"Severe Storm(s)","HEA-F1  Approximate 1216 lost power in 4 counties","F - Public Utilities","Small","40",58195.87,43646.9,43646.9,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","SWRE_B1 Electrical Distribution System - 3 Counties","B - Protective Measures","Small","40",10028.13,7521.1,7521.1,"2010-05-01T21:45:31.000Z"
1876,2010,"Severe Storm(s)","SWRE_F1 Electrical Distribution - Damage 3 Counties","F - Public Utilities","Large","40",597503.34,448127.51,448127.51,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","SWRE_B2 Elec Dist System-Damage in 3 Counties","B - Protective Measures","Small","40",33816.38,25362.29,25362.29,"2010-05-01T21:45:31.000Z"
1876,2010,"Severe Storm(s)","OTA-B06  Paved Roadway - Muskogee Turnpike","B - Protective Measures","Small","40",17830.47,13372.85,13372.85,"2010-05-01T21:45:31.000Z"
1876,2010,"Severe Storm(s)","OTA-B07 Emergency Clearance - Will Rogers Turnpike","B - Protective Measures","Small","40",37864.13,28398.1,28398.1,"2010-05-06T16:33:23.000Z"
1876,2010,"Severe Storm(s)","OTA-B05  Paved Roadway, Cherokee Turnpike","B - Protective Measures","Small","40",9164.52,6873.39,6873.39,"2010-05-06T16:33:23.000Z"
1876,2010,"Severe Storm(s)","DPS-B01 - Emergency Services, Search and Rescue","B - Protective Measures","Small","40",48892.35,36669.26,36669.26,"2010-05-07T20:22:05.000Z"
1876,2010,"Severe Storm(s)","OK010Z  324 Management Costs","Z - State Management","Large","40",364441.74,364441.74,364441.74,"2010-05-05T20:47:51.000Z"
1876,2010,"Severe Storm(s)","INT-007   Four Winds Day Care","E - Public Buildings","Small","40",4716.16,3537.12,3537.12,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","OTA-B04 Paved Roadway Damage Winter Storm","B - Protective Measures","Small","40",14993.3,11244.98,11244.98,"2010-05-06T16:33:23.000Z"
1876,2010,"Severe Storm(s)","KTO-B01 - Emergency Measures - Road Clearance","B - Protective Measures","Small","40",1820.82,1365.62,1365.62,"2010-05-11T23:11:58.000Z"
1876,2010,"Severe Storm(s)","B7MC001  ODOT Division 7 Roads","B - Protective Measures","Large","40",336914.51,252685.88,252685.88,"2010-05-06T16:33:23.000Z"
1876,2010,"Severe Storm(s)","OTA-B08 Paved Roadways'Snow Emergency Routes","B - Protective Measures","Small","40",30055.03,22541.27,22541.27,"2010-05-06T16:33:23.000Z"
1876,2010,"Severe Storm(s)","WFEC01F Power Transmission System-Repair Lines, Restore","F - Public Utilities","Large","40",365831.78,274373.84,274373.84,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","POT004    Parking Lots, Parking Stops, etc.","B - Protective Measures","Small","40",7948.06,5961.05,5961.05,"2010-06-03T18:44:55.000Z"
1876,2010,"Severe Storm(s)","SCSNWE Museum & Cultural Center","E - Public Buildings","Small","40",7050,5287.5,5287.5,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","B1MC001   ODOT Division 1 Roads","B - Protective Measures","Large","40",378614.06,283960.55,283960.55,"2010-05-13T02:34:17.000Z"
1876,2010,"Severe Storm(s)","QPSNWB1 - Emergency Measures Clear Roads","B - Protective Measures","Small","40",10872.79,8154.59,8154.59,"2010-05-20T02:19:21.000Z"
1876,2010,"Severe Storm(s)","WYD-E3 John Deere Grader","E - Public Buildings","Small","40",4663.41,3497.56,3497.56,"2010-08-17T00:21:57.000Z"
1876,2010,"Severe Storm(s)","QPSNWB2  Cleared Roads for Emergencies","B - Protective Measures","Small","40",0,0,0,"2010-06-03T18:44:55.000Z"
1876,2010,"Severe Storm(s)","B5MC001  Cleared Roads and Rescue Motorists","B - Protective Measures","Large","40",164981.03,123735.77,123735.77,"2010-05-28T02:07:42.000Z"
1876,2010,"Severe Storm(s)","OSUSTB1  Cleared Roads & Walkways on Stillwater Campus","B - Protective Measures","Small","40",42448.78,31836.59,31836.59,"2010-06-03T18:47:43.000Z"
1876,2010,"Severe Storm(s)","CAD008F - Power Distribution System-Repair Lines","F - Public Utilities","Large","40",174171.26,130628.44,130628.44,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","OMD-B01 Impassable Roadways - Emergency Operations","B - Protective Measures","Small","40",47957.93,35968.45,35968.45,"2010-06-05T02:48:27.000Z"
1876,2010,"Severe Storm(s)","OEM-B01 Emergency Protective Measures - Call Center","B - Protective Measures","Small","40",5697.99,4273.49,4273.49,"2010-06-05T02:48:27.000Z"
1876,2010,"Severe Storm(s)","B2MC001 Emergency Protect Measures Clear Roads","B - Protective Measures","Large","40",94069.2,70551.9,70551.9,"2010-06-05T02:48:27.000Z"
1876,2010,"Severe Storm(s)","B4MC001 Emergency Protective Measures Clearing Roads","B - Protective Measures","Large","40",337832.7,253374.53,253374.53,"2010-06-05T02:48:27.000Z"
1876,2010,"Severe Storm(s)","B3MC001   Clearing Roads & Rescuing Motorists","B - Protective Measures","Large","40",255142.1,191356.58,191356.58,"2010-06-05T02:48:27.000Z"
1876,2010,"Severe Storm(s)","MCNSNW2 - Emergency Clearance Roads (Main Campus)","B - Protective Measures","Small","40",4315,3236.25,3236.25,"2010-06-26T02:23:21.000Z"
1876,2010,"Severe Storm(s)","MCNSNW1 - Emergency Clearance of Roads in Tribal Lands","B - Protective Measures","Small","40",5424,4068,4068,"2010-06-26T02:23:21.000Z"
1876,2010,"Severe Storm(s)","WYD-E1 Bearskin Wellness, Fitness Center, Admin. Bldg","E - Public Buildings","Small","40",927.98,695.99,695.99,"2010-08-17T00:21:57.000Z"
1876,2010,"Severe Storm(s)","SSC-B01 - Snow & Ice on Campus Roads, P Lots, Sidewalks","B - Protective Measures","Small","40",1885.89,1414.42,1414.42,"2010-06-15T01:30:09.000Z"
1876,2010,"Severe Storm(s)","PECF001 Electrical Dist. System - Poles, Service Drops","F - Public Utilities","Small","40",8851.7,6638.78,6638.78,"2010-08-13T17:23:43.000Z"
1876,2010,"Severe Storm(s)","OU-B01 Emergency Prot. Measures - Snow Removal","B - Protective Measures","Small","40",15849.27,11886.95,11886.95,"2010-06-23T18:33:22.000Z"
1876,2010,"Severe Storm(s)","OU-E01 Ten University Buildings within the Main Campus","E - Public Buildings","Large","40",76999.33,57749.5,57749.5,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","ASH002 Gymnasium Gravel Parking Lot","C - Roads and Bridges","Small","40",6534,4900.5,4900.5,"2010-08-17T00:21:57.000Z"
1876,2010,"Severe Storm(s)","DEL-001 Holly Tex Building","E - Public Buildings","Small","40",10000,7500,7500,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","BCM-013  Chisholm Trail Casino Security Fence and Sign","E - Public Buildings","Small","40",25076.36,18807.27,18807.27,"2010-07-01T18:54:15.000Z"
1876,2010,"Severe Storm(s)","BCM006 Eemergency Snow Clearance","B - Protective Measures","Small","40",2314.18,1735.64,1735.64,"2010-07-01T18:54:15.000Z"
1876,2010,"Severe Storm(s)","QP76B2    EPM - Snow & Ice Clearance","B - Protective Measures","Small","40",12926.15,9694.61,9694.61,"2010-06-30T22:42:55.000Z"
1876,2010,"Severe Storm(s)","CHE-001   EPM- Shelters","B - Protective Measures","Small","40",9917.28,7437.96,7437.96,"2010-07-09T21:49:39.000Z"
1876,2010,"Severe Storm(s)","BCM-018   Winstar Casino (plumbing)","E - Public Buildings","Small","40",4288.93,3216.7,3216.7,"2010-08-16T20:18:25.000Z"
1876,2010,"Severe Storm(s)","WYDSNWB EPM - Road Clearance","B - Protective Measures","Small","40",5558.87,4169.15,4169.15,"2010-07-16T18:20:55.000Z"
1876,2010,"Severe Storm(s)","MCNSNWA   Debris Removal","A - Debris Removal","Small","40",8372.9,6279.68,6279.68,"2010-07-16T01:38:12.000Z"
1876,2010,"Severe Storm(s)","MCNSNWC  Multiple Tribal Driveway Sites","C - Roads and Bridges","Small","40",26228.26,19671.2,19671.2,"2010-08-17T00:21:57.000Z"
1876,2010,"Severe Storm(s)","OSU-01F  Water Supply Line","F - Public Utilities","Small","40",14682.2,11011.65,11011.65,"2010-08-13T01:38:25.000Z"
1876,2010,"Severe Storm(s)","BCM-003    EPM - Sheltering","B - Protective Measures","Small","40",2887.37,2165.53,2165.53,"2010-08-06T00:12:37.000Z"
1876,2010,"Severe Storm(s)","BCM-011 Riverwind, WinStar and Lazar Zone - Snow Clear","B - Protective Measures","Small","40",1103.39,827.54,827.54,"2010-08-06T00:12:37.000Z"
1876,2010,"Severe Storm(s)","POT-007    EPM: Cleared Critical Roads","B - Protective Measures","Small","40",33171.97,24878.98,24878.98,"2010-09-22T19:52:19.000Z"
1877,2010,"Severe Storm(s)","IDOTB08  Emerg Prot Measures / Pottawattamie Co.","B - Protective Measures","Large","19",205958.52,154468.89,154468.89,"2010-05-17T16:28:53.000Z"
1877,2010,"Severe Storm(s)","IDOTB02  Emergency Protective Measures / Clay Co.","B - Protective Measures","Small","19",21080.2,15810.15,15810.15,"2010-05-20T21:31:36.000Z"
